Country_name,Country_code,Days,Cost_of _living,Class,Ticket_price
Afghanistan,4,30,30172.46,0,24540
Aland Islands,248,30,71838.01,0,38000
Albania,8,30,34357.49,0,37154
Algeria,12,30,27494.49,0,38438
Andorra,20,30,59507.98,0,65492
Angola,24,30,71601.5,0,45417
Argentina,32,30,32606.53,0,62791
Armenia,51,30,34172.44,0,32917
Aruba,533,30,75445.23,0,48110
Australia,36,30,71182.29,0,36567
Austria,40,30,72478.63,0,48960
Azerbaijan,31,30,30170.02,0,24369
Bahamas,44,30,81391.7,0,52553
Bahrain,48,30,56825.57,0,55378
Bangladesh,50,30,28880.89,0,55452
Barbados,52,30,82109.74,0,28164
Belarus,112,30,31827.54,0,75954
Belgium,56,30,69195.81,0,67511
Belize,84,30,46246.44,0,87952
Bermuda,60,30,135274.01,0,68229
Bhutan,64,30,40194.04,0,12000
Bolivia,68,30,35957.83,0,171097
Bosnia and Herzegovina,70,30,36929.9,0,103463
Botswana,72,30,38239.82,0,95381
Bouvet Island,74,30,120707.89,0,1223600
Brazil,76,30,34112.01,0,103096
Brunei Darussalam,96,30,46658.58,0,101331
Bulgaria,100,30,37391.87,0,127832
Burkina Faso,854,30,49728.8,0,127835
Cambodia,116,30,43098.64,0,74252
Cameroon,120,30,38864.18,0,68841
Canada,124,30,65491.57,0,92203
Chile,152,30,47227.93,0,107167
China,156,30,40287.44,0,226004
Christmas Island,162,30,27900.66,0,15000
Colombia,170,30,27900.66,0,91259
Congo,178,30,102640,0,115320
Costa Rica,188,30,46783.63,0,104669
Curacao,599,30,66791.39,0,122433
Croatia,191,30,53802.17,0,72995
Cuba,192,30,43442.39,0,152249
Cyprus,196,30,58928.18,0,74746
Czech Republic,203,30,47571.47,0,55511
Denmark,208,30,79921.11,0,96138
Djibouti,262,30,93249.04,0,80372
Dominica,212,30,60183.16,0,98248
Dominican Republic,214,30,38893.38,0,98248
Ecuador,218,30,36447.13,0,63327
Egypt,818,30,27610.03,0,39122
El Salvador,222,30,41284.94,0,99059
Equatorial Guinea,226,30,63803.52,0,192554
Estonia,233,30,53859.47,0,73952
Ethiopia,231,30,51654.9,0,59578
Fiji,242,30,41071.56,0,90434
Finland,246,30,69361.58,0,69657
France,250,30,69810.56,0,64303
French Polynesia,258,30,86590.54,0,193133
French Southern Territories,260,30,65431.63,0,74553
Gabon,266,30,65431.63,0,109193
Gambia,270,30,29545.23,0,386945
Georgia,268,30,29545.23,0,49220
Germany,276,30,66021.44,0,65582
Ghana,288,30,39638.13,0,82580
Gibraltar,292,30,65333.49,0,69989
Greece,300,30,117817.08,0,77153
Guam,316,30,97790.79,0,411822
Guatemala,320,30,42912.5,0,111460
Guernsey,831,30,84035.88,0,90932
Guinea-Bissau,624,30,49785.17,0,141582
Guyana,328,30,49785.17,0,116984
Haiti,332,30,68660.5,0,88519
Honduras,340,30,41156.63,0,87581
Hong Kong,344,30,79458.27,0,104082
Hungary,348,30,42045.09,0,71105
Iceland,352,30,90364.67,0,103878
India,356,30,24036.54,0,0
Indonesia,360,30,33249.63,0,99117
Iran,364,30,34914.69,0,52602
Iraq,368,30,36861.22,0,30629
Ireland,372,30,71416.15,0,67045
Isle of Man,833,30,67790.06,0,37000
Israel,376,30,79400.16,0,71926
Italy,380,30,64136.47,0,85236
Ivory Coast,225,30,53575.33,0,92650
Jamaica,388,30,46828.56,0,94475
Japan,392,30,79483.48,0,92299
Jersey,832,30,84830.81,0,63958
Jordan,400,30,48452.59,0,52330
Kazakhstan,398,30,30572.13,0,54494
Kenya,404,30,35659.44,0,53220
Kosovo,383,30,27550.36,0,75336
Kuwait,414,30,50892.32,0,87942
Kyrgyzstan,417,30,26120.34,0,43825
Latvia,428,30,50168.82,0,81811
Lebanon,422,30,68589.36,0,123964
Liberia,430,30,89557.17,0,53063
Libyan Arab Jamahiriya,434,30,50966.54,0,73088
Liechtenstein,438,30,96495.45,0,84767
Lithuania,440,30,45115.63,0,82760
Luxembourg,442,30,79834.36,0,77050
Macao,446,30,66127.07,0,67973
Madagascar,450,30,28437.5,0,44281
Malawi,454,30,47861.09,0,82114
Malaysia,458,30,33611.88,0,78226
Maldives,462,30,57071.95,0,18090
Malta,470,30,64291.7,0,75961
Mayotte,175,30,79996.47,0,151915
Mexico,484,30,35021.58,0,122361
"Moldova, Republic of",498,30,31764.06,0,54565
Monaco,492,30,118034.36,0,63954
Mongolia,496,30,34701.85,0,414174
Montenegro,499,30,38383.09,0,650001
Morocco,504,30,32036.77,0,167580
Myanmar,104,30,35478.04,0,145700
Nepal,524,30,24641.08,0,26565
Netherlands,528,30,73553.2,0,66093
New Caledonia,540,30,96228.96,0,49000
New Zealand,554,30,68453.46,0,155193
Nicaragua,558,30,39804.01,0,105709
Niger,562,30,54565.98,0,105179
Nigeria,566,30,31677.47,0,108746
North Macedonia,807,30,31978.64,0,50884
Norway,578,30,91890.73,0,32741
Oman,512,30,47876.31,0,44033
Pakistan,586,30,22164.84,0,40681
Palau,585,30,46972.63,0,164987
"Palestinian Territory, Occupied",275,30,51153.3,0,50629
Panama,591,30,50514.3,0,117588
Papua New Guinea,598,30,78070.26,0,361452
Paraguay,600,30,29661.68,0,163160
Peru,604,30,30143.49,0,100844
Philippines,608,30,38161.8,0,367360
Poland,616,30,43220.67,0,60961
Portugal,620,30,45901.4,0,67973
Puerto Rico,630,30,64556.8,0,41191
